名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
凱米 (GAEMI),202403,"127.8, 15.9",僅一次,---,海上 2024-07-22 23:30:00陸上 2024-07-23 11:30:00,---,---,---,---,---,---,---,---,---
杜蘇芮 (DOKSURI),202305,"132.9, 14.0",僅一次,2023年 07月 28日,海上 2023-07-24 20:30:00陸上 2023-07-25 14:30:00,陸上 2023-07-28 17:30:00海上 2023-07-28 17:30:00,32,中度,48 (公尺/秒),7,---,7月21日8時於關島西南方海面生成，7月24日向西北轉北北西移動，朝巴士海峽海面接近，同日20時30發布海上颱風警報。25日14時30分暴風圈已進入巴士海峽，對屏東及恆春半島將構成威脅，發布陸上颱風警報。27至28日颱風自臺灣海峽北上，中心於10時在金門東方近海登陸福建省，同日17時30分解除海上陸上颱風警報。,共計造成1死79傷，農損約2億元。,颱風災害專區網頁連結
海葵 (HAIKUI),202311,"142.8, 18.4",僅一次,2023年 09月 03日,海上 2023-09-01 20:30:00陸上 2023-09-02 11:30:00,陸上 2023-09-05 05:30:00海上 2023-09-05 08:30:00,29,中度,43 (公尺/秒),4,臺東縣東河鄉,8月28日8時於關島西北方海面生成後，向西北西朝臺灣東方海面接近，1日20時30發布海上颱風警報。2日11時30分暴風圈逐漸接近臺灣東方海面，對東半部構成威脅，發布陸上颱風警報。3日15時40分於颱風中心於臺東縣東河鄉登陸，同日20時於高雄市梓官區出海。出海後於高雄沿海滯留打轉，4日4時左右於高雄市左營區第2次登陸。5日持續朝西往中國閩粵交界沿海登陸，於5時30分解除陸上颱風警報，8時減弱為熱帶性低氣壓，並於8時30時解除海上颱風警報。,"中央災害應變中心統計全國143人受傷，停電約28萬戶，災情3,101件，農業損失14億1,563萬元。",颱風災害專區網頁連結
卡努 (KHANUN),202306,"138.1, 12.0",僅一次,2023年 08月 04日,海上 2023-08-01 20:30:00陸上 2023-08-02 17:30:00,陸上 2023-08-04 05:30:00海上 2023-08-04 11:30:00,22,中度,48 (公尺/秒),特殊,---,7月28日2時於關島西南方海面生成，8月1日向西北西轉西移動，朝臺灣北部海面接近，同日20時30發布海上颱風警報。2日17時30分，暴風圈逐漸接近臺灣北部近海，對臺灣北部構成威脅，發布陸上颱風警報。3至4日颱風於臺北東北東方海面緩慢移動，暴風圈於3日17時左右短暫接觸臺灣東北角陸地。4日颱風向東北轉東北東移動，同日11時30分解除海上颱風警報。,中央災害應變中心統計1死，農損約2億3809萬元。(統計截至8月11日止),颱風災害專區網頁連結
小犬 (KOINU),202314,"133.0, 15.5",僅一次,2023年 10月 05日,海上 2023-10-02 23:30:00陸上 2023-10-03 11:30:00,陸上 2023-10-06 02:30:00海上 2023-10-06 11:30:00,29,中度,48 (公尺/秒),4,屏東縣鵝鑾鼻,9月30日2時於關島西方海面生成後，向西北西朝臺灣東方海面接近，10月2日23時30發布海上颱風警報。3日11時30分暴風圈逐漸接近臺灣東方海面，對花蓮、臺東、屏東、恆春半島構成威脅，發布陸上颱風警報。5日8時20分颱風中心掠過屏東鵝鑾鼻。6日2時颱風中心於鵝鑾鼻西方250公里海面上持續西行，解除陸上颱風警報，同日11時30時解除海上颱風警報。,"中央災害應變中心統計全國1人死亡，399人受傷，停電46萬5,054戶，災情4,077件，農業損失5億7,595萬元。",颱風災害專區網頁連結
瑪娃 (MAWAR),202302,"149.0, 6.3",僅一次,2023年 05月 31日,海上 2023-05-29 20:30:00,海上 2023-05-31 17:30:00,16,中度,43 (公尺/秒),---,---,"5月20日14時於關島東南方海面生成，5月29日向西北轉北北西移動，朝巴士海峽及臺灣東南部海面接近，同日20時30發布海上颱風警報。31日11時暴風圈掠過臺灣東南部近海，同日17時30分解除海上颱風警報。
災情：零星災情，無人傷亡。",零星災情，無人傷亡。,---
蘇拉 (SAOLA),202309,"124.7, 20.4",僅一次,2023年 08月 30日,海上 2023-08-28 23:30:00陸上 2023-08-29 17:30:00,陸上 2023-08-30 23:30:00海上 2023-08-31 14:30:00,22,強烈,53 (公尺/秒),---,---,8月24日14時於臺灣東南方海面生成；28日向西北移動，朝巴士海峽接近，同日23時30發布海上颱風警報。29日14時30分暴風圈逐漸接近巴士海峽，對屏東及恆春半島構成威脅，發布陸上颱風警報。30至31日颱風朝臺灣海峽南部移動，暴風圈於30日11時接觸恆春半島陸地。31日颱風向西北西朝廣東沿海移動，同日14時30分解除海上颱風警報。,中央災害應變中心統計無人傷亡，零星災情。,---
軒嵐諾 (HINNAMNOR),202211,"149.4, 25.9",僅一次,2022年 09月 04日,海上 2022-09-02 08:30:00陸上 2022-09-03 02:30:00,陸上 2022-09-04 11:30:00海上 2022-09-04 20:30:00,21,強烈,55 (公尺/秒),6,---,8月28日14時於日本東南方海面生成，9月2日持續向西南移動，朝臺灣東南方海域接近，於同日8時30分發布海上颱風警報，9月3日2時30分發布陸上颱風警報。3日深夜颱風於臺灣東方海域北上，其暴風圈掠過臺灣東北部陸地後，9月4日20時30分解除海上颱風警報。,共計402件災情，停電戶數約4萬餘戶，農業損失約183萬元。無人傷亡。,颱風災害專區網頁連結
梅花 (MUIFA),202212,"133.0, 17.2",僅一次,2022年 09月 13日,海上 2022-09-11 08:30:00,海上 2022-09-13 17:30:00,20,中度,43 (公尺/秒),---,---,9月8日8時於菲律賓東方海面生成，9月11日持續向西北移動，朝臺灣東南方海域接近，於同日8時30分發布海上颱風警報。9月12至13日颱風於臺灣東方海域北上，9月13日17時30分解除海上颱風警報。,共計64件災情，3人受傷，農業損失約36萬元。,颱風災害專區網頁連結
尼莎 (NESAT),202220,"124.2, 18.8",僅一次,2022年 10月 16日,海上 2022-10-15 16:00:00,海上 2022-10-16 20:30:00,11,中度,33 (公尺/秒),---,---,10月15日14時於臺灣東南方海面生成，向西移動朝巴士海峽接近，對巴士海峽構成威脅，於同日16時發布海上颱風警報。16日8時颱風暴風圈進入巴士海峽，同日20時30分解除海上颱風警報。,北部及宜花地區有豪大雨發生，全國災情統計約529件，農業損失約401萬元，無人傷亡。,颱風災害專區網頁連結
璨樹 (CHANTHU),202114,"136.6, 15.6",僅一次,2021年 09月 12日,海上 2021-09-10 05:30:00陸上 2021-09-10 17:30:00,陸上 2021-09-12 20:30:00海上 2021-09-13 02:30:00,24,強烈,58 (公尺/秒),6,---,9月7日8時於菲律賓東方海面生成後向西移動， 10日轉向北北西移動接近巴士海峽，於5時30分發布海上颱風警報，同日17時30分發布陸上颱風警報。12日於臺灣東部近海北上通過，暴風圈涵蓋臺灣全島，13日2時30分解除海上颱風警報。,零星災情，全臺7.8萬戶停電，無人傷亡。,颱風災害專區網頁連結
彩雲 (CHOI-WAN),202103,"130.5, 7.5",僅一次,2021年 06月 04日,海上 2021-06-03 16:00:00陸上 2021-06-03 23:30:00,陸上 2021-06-04 20:30:00海上 2021-06-04 20:30:00,11,輕度,20 (公尺/秒),---,---,"5月31日8時於菲律賓東南方海面生成，初期向西北方移動，6月1至2日通
過菲律賓群島後，3日進入南海轉向北方移動。颱風中心於同日14時，向北
轉北北東移動，於16時發布海上颱風警報，持續接近東沙島海域及巴士海峽；
23時於鵝鑾鼻西南方440公里海面上，逐漸轉東北方移動，並於23時30分
發布海上陸上颱風警報。4日17時暴風圈進入恆春半島，隨後於20時減弱為
熱帶性低氣壓，並於20時30分解除海上陸上颱風警報。",無,颱風災害專區網頁連結
烟花 (IN-FA),202106,"132.9, 22.3",僅一次,2021年 07月 24日,海上 2021-07-21 20:30:00,海上 2021-07-24 11:30:00,22,中度,43 (公尺/秒),---,---,7月18日2時於菲律賓東方海面生成，7月20至21日向西南西移動，緩慢通過琉球南方海域。21日20時30分發布海上颱風警報，22日於宮古島南方海域緩慢轉北北西移動。24日凌晨中心通過宮古島近海及其暴風圈掠過臺灣東北部海域後，於同日11時30分解除海上颱風警報。,未有重大災情。,颱風災害專區網頁連結
圓規 (KOMPASU),202118,"131.8, 12.7",僅一次,2021年 10月 11日,海上 2021-10-10 20:30:00,海上 2021-10-12 08:30:00,13,輕度,30 (公尺/秒),---,---,10月8日14時於菲律賓東方海面生成，10月10日持續向西移動朝巴士海峽接近，於同日20時30分發布海上颱風警報。11日暴風圈掠過巴士海峽後，12日08時30分解除海上颱風警報。,1人受傷，全臺約4.5萬戶停電，農業損失約5500萬元。,颱風災害專區網頁連結
盧碧 (LUPIT),202109,"115.5, 21.2",僅一次,2021年 08月 05日,海上 2021-08-04 14:30:00,海上 2021-08-05 17:30:00,10,輕度,20 (公尺/秒),---,---,8月3日8時於南海北部海面生成後向東移動，8月4日轉向北北東移動接近臺灣海峽南部海域，於14時30分發布海上颱風警報。5日午間於廣東沿海登陸，17時30分解除海上颱風警報。,受颱風減弱為熱帶性低氣壓及西南氣流影響，中南部有超大豪雨，農業損失約4.3億。,颱風災害專區網頁連結
閃電 (ATSANI),202020,"148.2, 7.5",僅一次,2020年 11月 06日,海上 2020-11-05 08:30:00陸上 2020-11-05 20:30:00,陸上 2020-11-07 08:30:00海上 2020-11-07 14:30:00,19,輕度,28 (公尺/秒),5,---,10月29日20時於關島東南方海域形成後，向西北朝琉球南方海域移動。11月5日轉向西北西朝巴士海峽接近，於08時30分發布海上颱風警報；20時30分發布海上陸上颱風警報。6日晚間暴風圈籠罩臺東、臺南、高雄及屏東。7日14時於澎湖南方近海減弱為熱帶性低氣壓，隨後解除海上颱風警報。,"中央災害應變中心統計共造成3人受傷，農業損失約2,400萬。",颱風災害專區網頁連結
