StationID,StationName,StationNameEN,StationAltitude,StationLongitude,StationLatitude,CountyName,Location,StationStartDate,StationEndDate,status,Notes,OriginalStationID,NewStationID,測站
466850,五分山雷達站,WUFENSHAN,756.0,121.781205,25.071182,新北市,瑞芳區靜安路四段1巷1號,1988-07-01,,現存測站,本站只有雷達觀測資料。,,,466850五分山雷達站
466880,板橋,BANQIAO,9.7,121.442017,24.997647,新北市,板橋區大觀路二段265巷62號,2002-01-01,2022-12-31,已撤銷,"原為探空站，自2002年開始進行氣象觀測。因受附近興建合宜住宅影響，日照觀測自民國104年起受大樓陰影遮蔽而影響觀測資料，影響時間為10月至隔年3月之7時至11時，4月至9月之7時至8時。
2023/01/01遷移至新店區，並更名為臺北氣象站新北站區，簡稱新北氣象站。",,466881,466880板橋
466881,新北,New Taipei,24.1,121.520000,24.959300,新北市,新店區莒光路29號,2023-01-01,,現存測站,為臺北氣象站板橋站區(站碼466880)遷移之新站，於2023/01/03上午11時取代舊站開始提供觀測資料。,466880,,466881新北
466900,淡水,TAMSUI,19.0,121.448906,25.164889,新北市,淡水區中正東路42巷6號,1942-10-01,,現存測站,,,,466900淡水
466910,鞍部,ANBU,837.6,121.529731,25.182586,臺北市,北投區陽明山竹子湖路111號,1943-01-01,,現存測站,,,,466910鞍部
466920,臺北,TAIPEI,5.3,121.514853,25.037658,臺北市,中正區公園路64號,1896-08-11,,現存測站,1992/02至1997/08因本署改建，觀測地點移至臺北師院(466921)。2014至2015氣候年報之氣壓計海面上高度應為30.3m(2014/10/25搬遷，6.6m->30.3m)。,,,466920臺北
466921,臺北(師院),TAIPEI,6.1,121.513225,25.036275,臺北市,中正區公園路,1992-02-01,1997-09-01,已撤銷,1997年9月遷回原址。,,,466921臺北(師院)
466930,竹子湖,ZHUZIHU,607.1,121.544547,25.162078,臺北市,北投區陽明山竹子湖路2號,1943-01-01,,現存測站,,,,466930竹子湖
466940,基隆,KEELUNG,26.7,121.740475,25.133314,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946-10-01,,現存測站,,,,466940基隆
466950,彭佳嶼,PENGJIAYU,101.7,122.079744,25.627975,基隆市,中正區彭佳嶼,1936-05-01,,現存測站,,,,466950彭佳嶼
466990,花蓮,HUALIEN,16.1,121.613275,23.975128,花蓮縣,花蓮市花崗街24號,1910-11-01,,現存測站,,,,466990花蓮
467050,新屋,XINWU,20.6,121.047486,25.006744,桃園市,新屋區東興路二段946號,2013-07-01,,現存測站,座標及高度於2013/10/09更正。2020/01/01至2020/02/15因施工部分觀測資料缺值。,,,467050新屋
467060,蘇澳,SU-AO,24.9,121.857372,24.596736,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),1982-01-01,2023-04-01,已撤銷,1981/12/1開始觀測。原(467060)站於2023/04/01起變更站碼為(C0UB10)站。,,C0UB10,467060蘇澳
467080,宜蘭,YILAN,7.2,121.756528,24.763975,宜蘭縣,宜蘭市力行路150號,1935-12-06,,現存測站,風速儀高度原為14.8M，1999年9月17日8時變更為26.0M,,,467080宜蘭
467110,金門,KINMEN,47.9,118.289281,24.407306,金門縣,金城鎮金水里西海路一段250號,2004-01-16,,現存測站,,,,467110金門
467270,田中,TianZhong,48.6,120.581286,23.873803,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號,2020-04-09,,現存測站,,,,467270田中
467300,東吉島,DONGJIDAO,43.0,119.667467,23.256950,澎湖縣,望安鄉東吉村156號,1963-01-01,,現存測站,,,,467300東吉島
467350,澎湖,PENGHU,10.7,119.563094,23.565503,澎湖縣,馬公市新興路2號,1896-11-21,,現存測站,,,,467350澎湖
467410,臺南,TAINAN,40.8,120.204772,22.993239,臺南市,中西區公園路21號,1897-01-01,,現存測站,1998/05停止觀測，2002/01恢復觀測。2002年至2006年氣候年報之風速儀地上高度應為53.7m。,,,467410臺南
467411,臺南(永康),TAINAN,8.1,120.236700,23.038386,臺南市,永康區中正南路654巷40弄1號,1998-05-01,2002-01-01,已撤銷,2002/01/01遷回臺南市。,,,467411臺南(永康)
467420,永康,YONGKANG,8.1,120.236700,23.038386,臺南市,永康區鹽行里正南五街520巷88號,1947-06-01,,現存測站,,,,467420永康
467440,高雄,KAOHSIUNG,2.3,120.315733,22.565992,高雄市,前鎮區明孝里26鄰漁港南二路2號,1931-04-01,2022-01-24,已撤銷,自2022/01/24起搬遷至高雄市楠梓區德民路28號。,,467441,467440高雄
467441,高雄,Kaohsiung,11.8,120.312500,22.730400,高雄市,楠梓區德民路28號,2022-01-24,,現存測站,,467440,,467441高雄
467480,嘉義,CHIAYI,26.9,120.432906,23.495925,嘉義市,西區北新里海口寮路56號,1968-09-01,,現存測站,,,,467480嘉義
467490,臺中,TAICHUNG,84.0,120.684075,24.145736,臺中市,北區精武路295號,1897-01-01,,現存測站,2000年至2006年氣候年報之海拔高度誤植為34m。,,,467490臺中
467530,阿里山,ALISHAN,2413.4,120.813242,23.508208,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933-04-01,,現存測站,,,,467530阿里山
467540,大武,DAWU,8.1,120.903789,22.355675,臺東縣,大武鄉大武街115號,1940-01-01,,現存測站,,,,467540大武
467550,玉山,YUSHAN,3844.8,120.959522,23.487614,南投縣,信義鄉玉山北峰1號,1943-10-01,,現存測站,,,,467550玉山
467570,新竹,HSINCHU,32.8,120.977639,24.800446,新竹市,公園路291號,1938-01-01,1991-07-01,已撤銷,1991/07站址遷往竹北。,,,467570新竹
467571,新竹,HSINCHU,26.9,121.014219,24.827853,新竹縣,竹北市北崙里3鄰光明五街60號,1991-07-01,,現存測站,,,,467571新竹
467590,恆春,HENGCHUN,22.3,120.746339,22.003897,屏東縣,恆春鎮天文路50號,1896-11-20,,現存測站,,,,467590恆春
467610,成功,CHENGGONG,33.5,121.373428,23.097486,臺東縣,成功鎮公民路84號,1940-01-01,,現存測站,,,,467610成功
467620,蘭嶼,LANYU,324.0,121.558339,22.036969,臺東縣,蘭嶼鄉紅頭村2號,1941-11-01,,現存測站,,,,467620蘭嶼
467650,日月潭,SUN MOON LAKE,1017.5,120.908050,23.881325,南投縣,魚池鄉水社村中山路270巷14號,1941-11-01,,現存測站,,,,467650日月潭
467660,臺東,TAITUNG,9.0,121.154586,22.752211,臺東縣,臺東市大同路106號,1901-01-01,,現存測站,,,,467660臺東
467770,梧棲,WUQI,31.7,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,1978-07-01,2022-07-31,已撤銷,於2020/1/1起，由人工觀測作業改為自動觀測。本站站碼於2022/8/1由467770改為C0FA30。,,C0FA30,467770梧棲
467780,七股,QIGU,2.9,120.086153,23.147006,臺南市,七股區鹽埕237-11號,2001-11-01,2016-06-01,已撤銷,,,,467780七股
467790,墾丁雷達站,KENTING,42.0,120.808028,21.948235,屏東縣,恆春鎮燈塔路51巷33號,2001-11-01,,現存測站,本站只有雷達觀測資料。,,,467790墾丁雷達站
467990,馬祖,MATSU,97.8,119.923419,26.169269,連江縣,南竿鄉四維村6鄰88號,2004-01-01,,現存測站,,,,467990馬祖
C0A510,大豹,Dabao,590.0,121.421547,24.887108,新北市,三峽區(三峽李山神宮附近),1987-06-01,2009-05-16,已撤銷,,,,C0A510大豹
C0A520,山佳,Shanjia,48.0,121.402008,24.974944,新北市,樹林區中山路3段5號(山佳國民小學校園內),1987-06-01,,現存測站,,,,C0A520山佳
C0A530,坪林,Pinglin,300.0,121.709750,24.938183,新北市,坪林區,1987-06-01,,現存測站,,,,C0A530坪林
C0A540,四堵,Sihdu,401.0,121.745736,24.892600,新北市,坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘),1987-06-01,2024-05-24,已撤銷,於2024/05/24撤銷。,,,C0A540四堵
C0A550,泰平,Taiping,422.0,121.823711,24.971197,新北市,雙溪區泰平里8鄰大平路43號(泰平國小分校附近),1987-06-01,,現存測站,,,,C0A550泰平
C0A560,福山,Fushan,405.0,121.502811,24.776203,新北市,烏來區福山里李茂岸八號(福山國小旁),1987-06-01,2024-05-24,已撤銷,於2024/05/24撤銷。,,,C0A560福山
C0A570,桶後,Tonghou,360.0,121.597992,24.848222,新北市,烏來區后桶街49號孝義里5-6k處路旁,1987-06-01,,現存測站,,,,C0A570桶後
C0A580,屈尺,Cyuchih,70.0,121.546333,24.922422,新北市,新店區屈尺里10鄰屈尺路55號(屈尺國民小學國小校園內),1987-06-01,2018-10-30,已撤銷,,,C0AI10,C0A580屈尺
C0A590,大尖山,Dajianshan,326.0,121.666006,25.051544,新北市,汐止區勤進路,1987-06-01,2011-08-12,已撤銷,,,,C0A590大尖山
